STAR version=2.7.9a
STAR compilation time,server,dir=2022-03-02T16:06:11+01:00 sb03-01:/tmp/eb-build/STAR/2.7.9a/GCC-11.2.0/STAR-2.7.9a/source
##### Command Line:
STAR --runThreadN 1 --runMode genomeGenerate --genomeDir SDR001_REF_index --genomeFastaFiles /g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa --sjdbGTFfile /g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.gtf --sjdbOverhang 99 --genomeSAindexNbases 4
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runThreadN                    1     ~RE-DEFINED
runMode                       genomeGenerate        ~RE-DEFINED
genomeDir                     SDR001_REF_index     ~RE-DEFINED
genomeFastaFiles              /g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa        ~RE-DEFINED
sjdbGTFfile                   /g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.gtf     ~RE-DEFINED
sjdbOverhang                  99     ~RE-DEFINED
genomeSAindexNbases           4     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 11  "cDNA_ESRRB_chrom" chrStart: 2883584
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 12  "cDNA_KATNBL1_chrom" chrStart: 3145728
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 13  "cDNA_EMC4_chrom" chrStart: 3407872
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 14  "cDNA_GOT2_chrom" chrStart: 3670016
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 15  "cDNA_MYH10_chrom" chrStart: 3932160
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 16  "cDNA_STAT3_chrom" chrStart: 4194304
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 17  "cDNA_CNN2_chrom" chrStart: 4456448
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 18  "cDNA_TCF3_chrom" chrStart: 4718592
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 19  "cDNA_CARM1_chrom" chrStart: 4980736
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 20  "cDNA_SPINT2_chrom" chrStart: 5242880
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 21  "cDNA_ACTN4_chrom" chrStart: 5505024
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 22  "cDNA_SOX11_chrom" chrStart: 5767168
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 23  "cDNA_RTN4_chrom" chrStart: 6029312
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 24  "cDNA_GULP1_chrom" chrStart: 6291456
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 25  "cDNA_GBX2_chrom" chrStart: 6553600
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 26  "cDNA_SOX12_chrom" chrStart: 6815744
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 27  "cDNA_DNMT3B_chrom" chrStart: 7077888
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 28  "cDNA_ERGIC3_chrom" chrStart: 7340032
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 29  "cDNA_CPNE1_chrom" chrStart: 7602176
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 30  "cDNA_RBM12_chrom" chrStart: 7864320
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 31  "cDNA_ROMO1_chrom" chrStart: 8126464
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 32  "cDNA_RBM39_chrom" chrStart: 8388608
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 33  "cDNA_PHF20_chrom" chrStart: 8650752
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 34  "cDNA_YWHAB_chrom" chrStart: 8912896
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 35  "cDNA_STAU1_chrom" chrStart: 9175040
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 36  "cDNA_DDX27_chrom" chrStart: 9437184
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 37  "cDNA_COL18A1_chrom" chrStart: 9699328
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 38  "cDNA_ATF4_chrom" chrStart: 9961472
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 39  "cDNA_UBE2E1_chrom" chrStart: 10223616
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 40  "cDNA_SOX2_chrom" chrStart: 10485760
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 41  "cDNA_ANXA5_chrom" chrStart: 10747904
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 42  "cDNA_TUBB2B_chrom" chrStart: 11010048
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 43  "cDNA_SOX4_chrom" chrStart: 11272192
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 44  "cDNA_POU5F1_chrom" chrStart: 11534336
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 45  "cDNA_EPB41L2_chrom" chrStart: 11796480
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 46  "cDNA_AKAP7_chrom" chrStart: 12058624
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 47  "1_CROP_AIF1L_dCas9_chrom" chrStart: 12320768
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 48  "2_CROP_ANXA5_dCas9_chrom" chrStart: 12582912
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 49  "3_CROP_ATP1B1_dCas9_chrom" chrStart: 12845056
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 50  "4_CROP_CARM1_dCas9_chrom" chrStart: 13107200
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 51  "5_CROP_CNN2_dCas9_chrom" chrStart: 13369344
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 52  "6_CROP_COL18A1_dCas9_chrom" chrStart: 13631488
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 53  "7_CROP_CPNE1_dCas9_chrom" chrStart: 13893632
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 54  "8_CROP_EMC4_dCas9_chrom" chrStart: 14155776
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 55  "9_CROP_EPB41L2_dCas9_chrom" chrStart: 14417920
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 56  "10_CROP_GOT2_dCas9_chrom" chrStart: 14680064
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 57  "11_CROP_GULP1_dCas9_chrom" chrStart: 14942208
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 58  "12_CROP_LTA4H_dCas9_chrom" chrStart: 15204352
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 59  "13_CROP_PDLIM1_dCas9_chrom" chrStart: 15466496
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 60  "14_CROP_PSME2_dCas9_chrom" chrStart: 15728640
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 61  "15_CROP_ROR1_dCas9_chrom" chrStart: 15990784
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 62  "16_CROP_RTN4_dCas9_chrom" chrStart: 16252928
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 63  "17_CROP_SPINT2_dCas9_chrom" chrStart: 16515072
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 64  "18_CROP_STAU1_dCas9_chrom" chrStart: 16777216
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 65  "19_CROP_TSTD1_dCas9_chrom" chrStart: 17039360
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 66  "20_CROP_UBE2E1_dCas9_chrom" chrStart: 17301504
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 67  "21_CROP_YWHAB_dCas9_chrom" chrStart: 17563648
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 68  "22_CROP_nC1_dCas9_chrom" chrStart: 17825792
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 69  "23_CROP_nC2_dCas9_chrom" chrStart: 18087936
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 70  "24_CROP_nC3_dCas9_chrom" chrStart: 18350080
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 71  "25_CROP_nC4_dCas9_chrom" chrStart: 18612224
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 72  "26_CROP_nC5_dCas9_chrom" chrStart: 18874368
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 73  "27_CROP_nC6_dCas9_chrom" chrStart: 19136512
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 74  "1_CROP_ANXA5_rs2306413_dCas9-pegRNA_chrom" chrStart: 19398656
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 75  "2_CROP_ATP1B1_rs10800424_dCas9-pegRNA_chrom" chrStart: 19660800
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 76  "3_CROP_CARM1_rs67987899_dCas9-pegRNA_chrom" chrStart: 19922944
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 77  "4_CROP_CNN2_rs4807440_dCas9-pegRNA_chrom" chrStart: 20185088
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 78  "5_CROP_COL18A1_rs78667666_dCas9-pegRNA_chrom" chrStart: 20447232
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 79  "6_CROP_COL18A1_rs35205716_dCas9-pegRNA_chrom" chrStart: 20709376
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 80  "7_CROP_CPNE1_rs2104417_dCas9-pegRNA_chrom" chrStart: 20971520
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 81  "8_CROP_CPNE1_rs73905926_dCas9-pegRNA_chrom" chrStart: 21233664
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 82  "9_CROP_CPNE1_rs6121020_dCas9-pegRNA_chrom" chrStart: 21495808
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 83  "10_CROP_CPNE1_rs2295355_dCas9-pegRNA_chrom" chrStart: 21757952
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 84  "11_CROP_EMC4_rs6495621_dCas9-pegRNA_chrom" chrStart: 22020096
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 85  "12_CROP_EPB41L2_rs3903759_dCas9-pegRNA_chrom" chrStart: 22282240
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 86  "13_CROP_GOT2_rs11558171_dCas9-pegRNA_chrom" chrStart: 22544384
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 87  "14_CROP_GOT2_rs727484_dCas9-pegRNA_chrom" chrStart: 22806528
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 88  "15_CROP_GULP1_rs6712056_dCas9-pegRNA_chrom" chrStart: 23068672
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 89  "16_CROP_LTA4H_rs3834482_dCas9-pegRNA_chrom" chrStart: 23330816
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 90  "17_CROP_PDLIM1_rs10218877_dCas9-pegRNA_chrom" chrStart: 23592960
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 91  "18_CROP_PSME2_rs2236352_dCas9-pegRNA_chrom" chrStart: 23855104
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 92  "19_CROP_ROR1_rs7517350_dCas9-pegRNA_chrom" chrStart: 24117248
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 93  "20_CROP_RTN4_rs2968787_dCas9-pegRNA_chrom" chrStart: 24379392
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 94  "21_CROP_RTN4_rs2044291_dCas9-pegRNA_chrom" chrStart: 24641536
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 95  "22_CROP_SPINT2_rs17554832_dCas9-pegRNA_chrom" chrStart: 24903680
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 96  "23_CROP_STAU1_rs7266044_dCas9-pegRNA_chrom" chrStart: 25165824
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 97  "24_CROP_STAU1_rs2252259_dCas9-pegRNA_chrom" chrStart: 25427968
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 98  "25_CROP_STAU1_rs3818066_dCas9-pegRNA_chrom" chrStart: 25690112
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 99  "26_CROP_TSTD1_rs10908821_dCas9-pegRNA_chrom" chrStart: 25952256
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 100  "27_CROP_UBE2E1_rs7651576_dCas9-pegRNA_chrom" chrStart: 26214400
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 101  "28_CROP_YWHAB_rs6031849_dCas9-pegRNA_chrom" chrStart: 26476544
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 102  "29_CROP_YWHAB_rs2072726_dCas9-pegRNA_chrom" chrStart: 26738688
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 103  "30_CROP_ATF4_control_PE_chrom" chrStart: 27000832
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 104  "31_CROP_SOX11_control_PE_chrom" chrStart: 27262976
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 105  "32_CROP_SOX12_control_PE_chrom" chrStart: 27525120
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 106  "33_CROP_MYH10_control_PE_chrom" chrStart: 27787264
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 107  "34_CROP_SOX4_control_PE_chrom" chrStart: 28049408
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 108  "Puro_GFP_chrom" chrStart: 28311552
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 109  "Amplicon_ATF4_control_AMPL590829_noHDR_chrom" chrStart: 28573696
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 110  "Amplicon_ATP1B1_rs10800424_AMPL587857_noHDR_chrom" chrStart: 28835840
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 111  "Amplicon_CARM1_rs67987899_AMPL587792_noHDR_chrom" chrStart: 29097984
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 112  "Amplicon_CNN2_rs4807440_AMPL587791_noHDR_chrom" chrStart: 29360128
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 113  "Amplicon_COL18A1_rs35205716_AMPL590828_noHDR_chrom" chrStart: 29622272
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 114  "Amplicon_COL18A1_rs78667666_AMPL587799_noHDR_chrom" chrStart: 29884416
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 115  "Amplicon_CPNE1_rs2104417_AMPL587794_noHDR_chrom" chrStart: 30146560
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 116  "Amplicon_CPNE1_rs2295355_AMPL587796_noHDR_chrom" chrStart: 30408704
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 117  "Amplicon_CPNE1_rs73905926_CPNE1_rs6121020_AMPL587795_noHDR_chrom" chrStart: 30670848
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 118  "Amplicon_EMC4_rs6495621_AMPL587790_noHDR_chrom" chrStart: 30932992
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 119  "Amplicon_EPB41L2_rs3903759_AMPL587789_noHDR_chrom" chrStart: 31195136
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 120  "Amplicon_GOT2_rs11558171_AMPL587820_noHDR_chrom" chrStart: 31457280
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 121  "Amplicon_GOT2_rs727484_AMPL587821_noHDR_chrom" chrStart: 31719424
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 122  "Amplicon_GULP1_rs6712056_AMPL587815_noHDR_chrom" chrStart: 31981568
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 123  "Amplicon_LTA4H_rs3834482_AMPL587865_noHDR_chrom" chrStart: 32243712
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 124  "Amplicon_MYH10_control_AMPL590826_noHDR_chrom" chrStart: 32505856
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 125  "Amplicon_PDLIM1_rs10218877_AMPL587864_noHDR_chrom" chrStart: 32768000
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 126  "Amplicon_PSME2_rs2236352_AMPL587866_noHDR_chrom" chrStart: 33030144
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 127  "Amplicon_ROR1_rs7517350_AMPL587855_noHDR_chrom" chrStart: 33292288
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 128  "Amplicon_RTN4_rs2044291_AMPL587813_noHDR_chrom" chrStart: 33554432
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 129  "Amplicon_RTN4_rs2968787_AMPL587814_noHDR_chrom" chrStart: 33816576
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 130  "Amplicon_SOX11_control_AMPL590824_noHDR_chrom" chrStart: 34078720
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 131  "Amplicon_SOX12_control_AMPL590827_noHDR_chrom" chrStart: 34340864
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 132  "Amplicon_SOX4_control_AMPL590825_noHDR_chrom" chrStart: 34603008
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 133  "Amplicon_SPINT2_rs17554832_AMPL587824_noHDR_chrom" chrStart: 34865152
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 134  "Amplicon_STAU1_rs2252259_AMPL587830_noHDR_chrom" chrStart: 35127296
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 135  "Amplicon_STAU1_rs3818066_AMPL587832_noHDR_chrom" chrStart: 35389440
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 136  "Amplicon_STAU1_rs7266044_AMPL587831_noHDR_chrom" chrStart: 35651584
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 137  "Amplicon_TSTD1_rs10908821_AMPL587856_noHDR_chrom" chrStart: 35913728
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 138  "Amplicon_UBE2E1_rs7651576_AMPL587787_noHDR_chrom" chrStart: 36175872
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 139  "Amplicon_YWHAB_rs2072726_AMPL587798_noHDR_chrom" chrStart: 36438016
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 140  "Amplicon_YWHAB_rs6031849_AMPL587797_noHDR_chrom" chrStart: 36700160
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 141  "Amplicon_ATF4_control_AMPL590829_withHDR_chrom" chrStart: 36962304
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 142  "Amplicon_ATP1B1_rs10800424_AMPL587857_withHDR_chrom" chrStart: 37224448
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 143  "Amplicon_CARM1_rs67987899_AMPL587792_withHDR_chrom" chrStart: 37486592
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 144  "Amplicon_CNN2_rs4807440_AMPL587791_withHDR_chrom" chrStart: 37748736
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 145  "Amplicon_COL18A1_rs35205716_AMPL590828_withHDR_chrom" chrStart: 38010880
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 146  "Amplicon_COL18A1_rs78667666_AMPL587799_withHDR_chrom" chrStart: 38273024
/g/steinmetz/lindenho/DLI_NGS/SDR001_STAR/SDR001_REF.fa : chr # 147  "Amplicon_CPNE1_rs2104417_AMPL587794_withHDR_chrom" chrStart: 38535168
